rank,type_key,ifc_class,instances,discipline,tier,proposed_code,proposed_code_label,evidence_sibling_type,evidence_sibling_instances,sibling_coded_instances_in_class,sibling_distinct_codes_in_class,join_key_ambiguous
265,Butterfly Valve - 50-300 mm:200 mm,IfcValve,2,MECH,derived:sibling,D4090,Other Fire Protection Systems,Victaulic_FireLock NXT Deluge Valve_Series 769_2:Victaulic_FireLock NXT Deluge Valve_Series 769_2,2,4,1,no
266,Strainer - 50-500 mm - Flanged:200 mm,IfcValve,2,MECH,derived:sibling,D4090,Other Fire Protection Systems,Victaulic_FireLock NXT Deluge Valve_Series 769_2:Victaulic_FireLock NXT Deluge Valve_Series 769_2,2,4,1,no
267,Globe Valve - 50-450 mm - Flanged:200 mm,IfcValve,2,MECH,derived:sibling,D4090,Other Fire Protection Systems,Victaulic_FireLock NXT Deluge Valve_Series 769_2:Victaulic_FireLock NXT Deluge Valve_Series 769_2,2,4,1,no
268,Transition - Generic:Standard,IfcPipeFitting,2,SPR,derived:sibling,D2090800,Piping & Fittings,Victaulic-Grooved Coupling OGS-AGS:Standard,752,1439,1,no
269,Cross - Threaded - MI - Class 150:Standard,IfcPipeFitting,2,SPR,derived:sibling,D2090800,Piping & Fittings,Victaulic-Grooved Coupling OGS-AGS:Standard,752,1439,1,no
270,MetricCabinFront_2011730_192211280:MetricCabinFront,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
271,MetricCarDoor2L_2011730_192425270:MetricCarDoor2L,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
272,MetricCabinFront_2011730_192425282:MetricCabinFront,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
273,MetricCarDoor2R_2011730_193613616:MetricCarDoor2R,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
274,MetricCoordinateSystem_2011730_193753555:475 x 610mm,IfcColumn,1,ARC,derived:ai,,,,,0,0,
